audio_file|text|speaker_name
wavs/bolsonaro-1_00000001.wav|quis deus que eu ocupasse a presidência em dois mil e dezanove e assumir um brasil com sérios problemas morais, éticos e econômicos.|bolsonaro
wavs/bolsonaro-1_00000002.wav|formamos um ministério com pessoas capazes para enfrentar a todos os desafios.|bolsonaro
wavs/bolsonaro-1_00000003.wav|ao longo do tempo, alguns nos deixaram por livre e espontânea vontade, outros foram substituídos por não se adequarem aos propósitos da maioria que me elegeu.|bolsonaro
wavs/bolsonaro-1_00000004.wav|em dois mil e dezanove, aprovamos a lei da liberdade econômica, simplificamos as normas regulamentadoras, começamos novas obras e concluímos muitas outras inacabadas.|bolsonaro
wavs/bolsonaro-1_00000005.wav|fizemos ressurgir o modal ferroviário, levamos tranquilidade ao campo, flexibilizamos a posse e o porte de arma de fogo para o cidadão e passamos a investir no brasil, e não mais no exterior, com obras bilionárias financiadas pelo bndes.|bolsonaro
wavs/bolsonaro-1_00000006.wav|completamos três anos de governo sem corrupção.|bolsonaro
wavs/bolsonaro-1_00000007.wav|já concluímos, com menor custo, centenas de obras paradas há vários anos.|bolsonaro
wavs/bolsonaro-1_00000008.wav|a transposição do rio são francisco finalmente já é uma realidade e estamos levando mais água para o nordeste.|bolsonaro
wavs/bolsonaro-1_00000009.wav|somente nos estados de pernambuco, paraíba, ceará e rio grande do norte foram beneficiados doze milhões de brasileiros em trezentos e noventa municípios.|bolsonaro
wavs/bolsonaro-1_00000010.wav|já entregamos mais de um vírgula dois milhão de moradias do programa casa verde amarela nas três faixas.|bolsonaro
wavs/bolsonaro-1_00000011.wav|em dois mil e vinte, lamentavelmente, surgiu a pandemia, onde mortos se fizeram presentes no mundo todo.|bolsonaro
wavs/bolsonaro-1_00000012.wav|nessa batalha, o governo federal dispensou recursos bilionários para que estados e municípios se preparassem para enfrentar a pandemia.|bolsonaro
wavs/bolsonaro-1_00000013.wav|com a política de muitos governadores e prefeitos de fechar comércios, decretar lockdown e toque de recolher, a quebradeira econômica só nos tornou uma realidade porque nós criamos o pronamp e o bem, programas para socorrer as pequenas e médias empresas, bem como fomentar acordos entre empregadores e trabalhadores para se evitar demissões.|bolsonaro
wavs/bolsonaro-1_00000014.wav|com isso, mais de onze milhões de empregos foram preservados.|bolsonaro
wavs/bolsonaro-1_00000015.wav|para aqueles que perderam sua renda, criamos o auxílio emergencial, onde sessenta e oito milhões de pessoas se beneficiaram.|bolsonaro
wavs/bolsonaro-1_00000016.wav|o total pago em dois mil e vinte equivale a mais de treze anos de gasto com o antigo bolsa família.|bolsonaro
wavs/bolsonaro-1_00000017.wav|mostramos nossa identidade ao socorrer os mais humildes, que tinham sido abandonados pelos que mandavam fechar tudo.|bolsonaro
wavs/bolsonaro-1_00000018.wav|encerramos o ano de dois mil e vinte e um com trezentos e oitenta milhões de doses de vacinas distribuídas à população, todas adquiridas pelo nosso governo.|bolsonaro
wavs/bolsonaro-1_00000019.wav|lembro que em dois mil e vinte não existia vacina disponível no mercado e a primeira pessoa vacinada foi no reino unido, em dezembro.|bolsonaro
wavs/bolsonaro-1_00000020.wav|todos os adultos que assim desejaram foram vacinados no brasil.|bolsonaro
wavs/bolsonaro-1_00000021.wav|fomos um exemplo para o mundo.|bolsonaro
wavs/bolsonaro-1_00000022.wav|não apoiamos o passaporte vacinal, nem qualquer restrição àqueles que não desejam se vacinar.|bolsonaro
wavs/bolsonaro-1_00000023.wav|também como anunciado pelo ministro da saúde, defendemos que as vacinas para as crianças entre cinco e onze anos sejam aplicadas somente com o consentimento dos pais e prescrição médica.|bolsonaro
wavs/bolsonaro-1_00000026.wav|estamos concluindo dois mil e vinte e um com um saldo de três milhões de novos empregos e saldo também positivo de cinco milhões de empresas abertas, interrompendo uma série de meia década com saldos negativos.|bolsonaro
wavs/bolsonaro-1_00000027.wav|adentraremos dois mil e vinte e dois com a esperança de que tudo se volte à normalidade.|bolsonaro
wavs/bolsonaro-1_00000029.wav|isso é uma prova de que reconquistamos a confiança dos investidores brasileiros e estrangeiros, o que possibilitará também a redução da inflação, consequência da equivocada política do fica em casa, a economia, a gente vê depois.|bolsonaro
wavs/bolsonaro-1_00000030.wav|já começamos a pagar o auxílio brasil, com valor mínimo de r dólar quatrocentos, programa melhor e mais abrangente do que o antigo bolsa família, onde a média era de apenas r dólar cento e noventa.|bolsonaro
wavs/bolsonaro-1_00000033.wav|desde o primeiro momento, determinei que os ministros joão roma e rogério marinho prestassem total apoio aos moradores desses mais de setenta municípios atingidos.|bolsonaro
wavs/bolsonaro-1_00000035.wav|um excelente dois mil e vinte e dois a todos.|bolsonaro
wavs/bolsonaro-1_00000036.wav|que deus nos abençoe.|bolsonaro
wavs/bolsonaro-2_00000000.wav|boa noite.|bolsonaro
wavs/bolsonaro-2_00000001.wav|venho, neste momento importante, me dirigir a todos vocês.|bolsonaro
wavs/bolsonaro-2_00000002.wav|desde o início do governo, temos trabalhado em todas as frentes para sanar problemas históricos e melhorar a vida das pessoas.|bolsonaro
wavs/bolsonaro-2_00000003.wav|o brasil avançou muito nesses quinze meses, mas agora estamos diante do maior desafio da nossa geração.|bolsonaro
wavs/bolsonaro-2_00000005.wav|me coloco no lugar das pessoas e entendo suas angústias.|bolsonaro
wavs/bolsonaro-2_00000006.wav|as medidas protetivas devem ser implementadas de forma racional, responsável e coordenada.|bolsonaro
wavs/bolsonaro-2_00000007.wav|nesse sentido, o senhor tedros adhanom, diretor-geral da organização mundial da saúde, disse saber que muitas pessoas, de fato, têm que trabalhar todos os dias para ganhar seu pão diário.|bolsonaro
